algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
SVM,2.2,15,4,3900,7352,0.2108878740075911,1.471060037612915,0.37935872519083585,1.8731071949005127,0.29191751979881486,1.6108067035675049,int32,0.8666267942583732,0.0,0.0,0.0
Decision Tree,2.2,31,3,3900,2450,0.16223262378538755,1.490386962890625,0.02292789944688165,1.411851167678833,0.05594957037933352,1.4633088111877441,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
AdaBoost,2.2,118,4,3900,1633,0.18401605537102855,1.4952759742736816,0.3766464971890749,1.735151767730713,0.0732040655260507,1.4662458896636963,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
SVM,2.3,20,1,3900,8169,0.010308638434774827,1.404463291168213,0.42559063113269113,1.9026978015899658,0.3313785640528112,1.6287169456481934,float32,0.8666267942583732,0.0,0.0,0.0
KNN,2.2,74,0,3900,1633,0.11370830391199098,1.5126168727874756,0.0065962438356573895,1.4033701419830322,0.5094770921809016,1.7151670455932617,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
SVM,2.1,3,0,2730,8169,0.023143700222312057,1.4068341255187988,0.4321261342868567,1.6590168476104736,1.535899185063371,1.6951549053192139,int32,0.8623931623931624,0.0,0.0,0.0
Bagging Classifier,2.2,143,3,3900,4084,0.482864551732608,1.4999969005584717,0.5010933420702726,1.5565969944000244,0.07313623440671341,1.4663240909576416,int32,0.8839712918660287,0.5838150289017341,0.452914798206278,0.5101010101010102
SVM,2.2,14,4,3900,6535,0.14551309158517414,1.4900920391082764,0.34308965818730547,1.837183952331543,0.2808254248211342,1.593904972076416,int32,0.8666267942583732,0.0,0.0,0.0
Multinomial NB,2.1,48,3,3119,8169,0.008659971032789433,1.381516695022583,0.025712334808800145,1.4001247882843018,0.08613193635020396,1.4457130432128906,int32,0.8557548579970105,0.0,0.0,0.0
Bagging Classifier,2.2,146,0,3900,6535,0.28134659831116765,1.491788625717163,0.9923906652295154,1.6097781658172607,0.0910732344200602,1.4554038047790527,int32,0.8869617224880383,0.5965909090909091,0.47085201793721976,0.5263157894736843
Bagging Classifier,2.1,133,1,1950,8169,0.016503016361406695,1.3722879886627197,0.3492113760940789,1.5611860752105713,0.08586354335090908,1.4291720390319824,int32,0.8708133971291866,0.6078431372549019,0.47692307692307695,0.5344827586206896
Multinomial NB,2.3,62,0,3900,8169,0.03195592838854232,1.39969801902771,0.048983456805686595,1.3909540176391602,0.11843401478289474,1.4362742900848389,int32,0.8666267942583732,0.0,0.0,0.0
AdaBoost,2.3,128,1,3900,8169,0.04520871398069422,1.4089462757110596,1.707241647201162,2.3349828720092773,0.23239902449148536,1.452915906906128,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
Random Forest,2.2,103,3,3900,7352,0.20435672591150128,1.469655990600586,6.381294865736878,4.127989053726196,0.3070211911780973,1.5075762271881104,int32,0.8851674641148325,0.5803108808290155,0.5022421524663677,0.5384615384615384
AdaBoost,2.3,132,0,3900,8169,0.013729413592619902,1.3918161392211914,1.0208931358905233,2.4508066177368164,0.20465631905275966,1.4852070808410645,float128,0.9635167464114832,0.921875,0.7937219730941704,0.8530120481927711
Random Forest,2.1,93,0,3509,8169,0.007886931723892444,1.4060368537902832,9.200748154784417,4.1085569858551025,0.20458267511628667,1.4820232391357422,int32,0.8803986710963455,0.5576036866359447,0.5902439024390244,0.5734597156398105
Random Forest,2.2,96,4,3900,1633,0.24096393187359383,1.5248770713806152,6.108428034665586,2.763256788253784,0.18216002897880726,1.471083164215088,int32,0.8875598086124402,0.5888324873096447,0.5201793721973094,0.5523809523809524
Multinomial NB,2.2,53,2,3900,2450,1.111035979758307,1.473794937133789,0.1749420990207977,1.3576958179473877,0.7133807269388528,1.4075651168823242,int32,0.8666267942583732,0.0,0.0,0.0
Bagging Classifier,2.2,146,1,3900,6535,1.0157498813047703,1.4509992599487305,0.8684356874264498,1.5959722995758057,0.18226281372767655,1.4448859691619873,int32,0.888755980861244,0.5911330049261084,0.5381165919282511,0.5633802816901409
SVM,2.1,6,4,3900,8169,0.014190163061327435,1.3902778625488281,0.30404856776834516,1.8944051265716553,0.24165910970573556,1.6572139263153076,int32,0.8666267942583732,0.0,0.0,0.0
KNN,2.3,84,4,3900,8169,0.008838627878058357,1.4011869430541992,0.005242144515394223,1.4097669124603271,0.21018227122868663,1.7391948699951172,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
KNN,2.1,71,3,3509,8169,0.007340963297110358,1.4034948348999023,0.006124543361791118,1.411388874053955,0.15999588147059382,1.664891004562378,int32,0.879734219269103,0.5588235294117647,0.5560975609756098,0.5574572127139364
Bagging Classifier,2.1,134,0,2340,8169,0.007281919457901335,1.4064717292785645,0.1881266120933174,1.5977098941802979,0.06374358176003327,1.4225859642028809,int32,0.8624127617148555,0.5310734463276836,0.6308724832214765,0.5766871165644172
SVM,2.3,22,0,3900,8169,0.00800049285388591,1.409804105758667,0.27374969024155915,1.8945190906524658,0.31016231481731277,1.644765853881836,float128,0.8666267942583732,0.0,0.0,0.0
Multinomial NB,2.2,58,3,3900,6535,0.09572310402128749,1.4899001121520996,0.0075671583261869724,1.417410135269165,0.07050943196766134,1.4758660793304443,int32,0.8666267942583732,0.0,0.0,0.0
Bagging Classifier,2.2,148,3,3900,8169,0.008171830890919243,1.3900761604309082,0.1948112874737255,1.643766164779663,0.040196798483263525,1.458772897720337,int32,0.8869617224880383,0.5934065934065934,0.484304932735426,0.5333333333333333
AdaBoost,2.3,130,0,3900,8169,0.009007715078454095,1.4180018901824951,0.6949092100555339,2.405484914779663,0.0593666636992713,1.4743189811706543,float32,0.9635167464114832,0.921875,0.7937219730941704,0.8530120481927711
Bagging Classifier,2.1,135,1,2730,8169,0.01028498377098739,1.4009947776794434,0.8581884751001347,1.7211599349975586,0.11087778063119999,1.4310662746429443,int32,0.8760683760683761,0.551948051948052,0.5279503105590062,0.5396825396825397
SVM,2.1,1,3,1950,8169,0.010222153078958154,1.3860909938812256,0.2898425072273895,1.5420458316802979,0.5679808996215987,1.6129121780395508,int32,0.8444976076555024,0.0,0.0,0.0
Random Forest,2.1,94,4,3900,8169,0.030583482030177873,1.3870391845703125,6.834357033774325,4.287030935287476,0.761766435969563,1.4805400371551514,int32,0.8893540669856459,0.5931372549019608,0.5426008968609866,0.5667447306791569
AdaBoost,2.3,132,3,3900,8169,0.07761767903552104,1.3832268714904785,1.7473784825092513,2.3802151679992676,0.1202455816797194,1.48856782913208,float128,0.9635167464114832,0.921875,0.7937219730941704,0.8530120481927711
Bagging Classifier,2.1,136,2,3119,8169,0.013512703307393901,1.4107730388641357,0.4212937906597105,1.6265990734100342,0.09673518117540277,1.4657132625579834,int32,0.8789237668161435,0.592814371257485,0.5129533678756477,0.55
AdaBoost,2.1,111,3,1950,8169,0.014516007793101936,1.3978679180145264,0.5579815710375593,1.8219001293182373,0.1321912877168972,1.4673867225646973,int32,0.8755980861244019,0.6048387096774194,0.5769230769230769,0.5905511811023623
Bagging Classifier,2.2,141,1,3900,2450,0.3503890525105286,1.4893100261688232,0.3415304267128115,1.5410981178283691,0.10052585612061218,1.4672000408172607,int32,0.8827751196172249,0.5737704918032787,0.47085201793721976,0.5172413793103449
AdaBoost,2.2,118,0,3900,1633,0.23825758156112314,1.497473955154419,0.6834059154127612,1.7592837810516357,0.16063290960854484,1.488116979598999,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
AdaBoost,2.3,130,2,3900,8169,0.014353468538524261,1.3993449211120605,4.030355806723429,2.5681068897247314,0.35319933259394265,1.4775292873382568,float32,0.9635167464114832,0.921875,0.7937219730941704,0.8530120481927711
Bagging Classifier,2.3,150,0,3900,8169,0.057605236322006134,1.4179978370666504,1.2488094818219013,1.6465439796447754,0.12633593543615923,1.45097017288208,int32,0.888755980861244,0.6,0.4977578475336323,0.5441176470588235
KNN,2.2,77,0,3900,4084,0.30375335957663857,1.4981071949005127,0.020134164265013636,1.3962571620941162,1.5667953707260183,1.76688814163208,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
KNN,2.1,70,1,3119,8169,0.03241336278204319,1.392652988433838,0.025110391732994092,1.3865959644317627,0.41932395505403575,1.628568172454834,int32,0.8789237668161435,0.6026490066225165,0.47150259067357514,0.5290697674418604
Decision Tree,2.2,35,0,3900,5718,0.3007894813123012,1.4959197044372559,0.04950540059941835,1.4232351779937744,0.0750509450051856,1.4627177715301514,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
AdaBoost,2.2,117,4,3900,816,0.2972424444509355,1.5304651260375977,0.6007716936404726,1.745007038116455,0.15349178395773364,1.4581058025360107,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
Bagging Classifier,2.1,134,4,2340,8169,0.02813406141494361,1.385404109954834,0.7203060147322847,1.6344761848449707,0.11078695082082572,1.4230749607086182,int32,0.8614157527417746,0.5290697674418605,0.610738255033557,0.5669781931464175
Decision Tree,2.3,43,2,3900,8169,0.02611696069338517,1.3958721160888672,0.3191866772736974,1.591892957687378,0.18686381810203131,1.4893014430999756,float64,0.9611244019138756,0.8691588785046729,0.8340807174887892,0.851258581235698
Bagging Classifier,2.3,149,4,3900,8169,0.026134137202667242,1.4021492004394531,0.764519346245733,1.6540558338165283,0.21487506807440934,1.4683420658111572,int16,0.8833732057416268,0.5666666666666667,0.5336322869955157,0.5496535796766744
SVM,2.2,16,2,3900,8169,0.01878183452984067,1.3877367973327637,2.686586354183173,1.8802218437194824,0.5211436792317008,1.6205670833587646,int32,0.8666267942583732,0.0,0.0,0.0
KNN,2.1,69,2,2730,8169,0.020521922138324076,1.3709659576416016,0.014965107408276522,1.3888046741485596,0.5248419054412861,1.5500726699829102,int32,0.8598290598290599,0.48598130841121495,0.32298136645962733,0.3880597014925373
Bagging Classifier,2.2,143,2,3900,4084,0.319416870059937,1.4879748821258545,0.36872265787323233,1.5686860084533691,0.13887857241302443,1.4486169815063477,int32,0.881578947368421,0.5706214689265536,0.452914798206278,0.505
SVM,2.3,17,1,3900,8169,0.03035942089538617,1.3944039344787598,1.3006887753055036,1.896153211593628,0.7624326681401999,1.6269922256469727,int16,0.8666267942583732,0.0,0.0,0.0
Multinomial NB,2.1,46,2,2340,8169,0.02258515596213182,1.400892972946167,0.03341893396715498,1.3766729831695557,0.16536822873667534,1.418421983718872,int32,0.8514456630109671,0.0,0.0,0.0
Bagging Classifier,2.2,142,1,3900,3267,0.5582029633166014,1.5243017673492432,0.5962035666709006,1.566126823425293,0.15399176091757744,1.4644839763641357,int32,0.8869617224880383,0.5801886792452831,0.5515695067264574,0.5655172413793104
Random Forest,2.3,109,1,3900,8169,0.019371146046083823,1.3980321884155273,4.018969678406862,3.753133773803711,0.18813315180410067,1.4903581142425537,float64,0.9700956937799043,1.0,0.7757847533632287,0.8737373737373737
AdaBoost,2.1,115,4,3509,8169,0.02435183653854779,1.3858377933502197,2.166079223246821,2.2793588638305664,0.1249225669549603,1.452859878540039,int32,0.8823920265780731,0.5588235294117647,0.6487804878048781,0.6004514672686231
Decision Tree,2.1,26,1,3119,8169,0.023680721866787262,1.4082238674163818,0.08997137373010361,1.432244062423706,0.07715479428787675,1.4282009601593018,int32,0.8849028400597907,0.6258064516129033,0.5025906735751295,0.557471264367816
KNN,2.2,73,0,3900,816,0.2704665744397902,1.494088888168335,0.017334143030868148,1.4082868099212646,0.5418545480006002,1.7412009239196777,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
Multinomial NB,2.3,61,3,3900,8169,0.024393295104667364,1.4103176593780518,0.042971477563812005,1.3951539993286133,0.17795136633134115,1.4363739490509033,int16,0.8666267942583732,0.0,0.0,0.0
AdaBoost,2.1,115,3,3509,8169,0.02579503328750447,1.388211965560913,1.787344533422426,2.2664082050323486,0.15137512433748943,1.4659361839294434,int32,0.8823920265780731,0.5588235294117647,0.6487804878048781,0.6004514672686231
AdaBoost,2.3,132,1,3900,8169,0.028704193522974368,1.4111700057983398,2.0541237830653896,2.432008981704712,0.1917564408488045,1.4459080696105957,float128,0.9635167464114832,0.921875,0.7937219730941704,0.8530120481927711
Multinomial NB,2.2,52,4,3900,1633,0.2610009934422945,1.5083129405975342,0.033525514872733336,1.4139447212219238,0.12624373384874793,1.4495031833648682,int32,0.8666267942583732,0.0,0.0,0.0
Multinomial NB,2.1,46,1,2340,8169,0.02273489453528132,1.3920440673828125,0.023985775370549894,1.3940789699554443,0.08217184132943076,1.422745943069458,int32,0.8514456630109671,0.0,0.0,0.0
Multinomial NB,2.3,66,0,3900,8169,0.020883733129552277,1.4113121032714844,0.024886152172448224,1.4039497375488281,0.1661334000528252,1.4819018840789795,float128,0.8666267942583732,0.0,0.0,0.0
KNN,2.2,74,1,3900,1633,0.2760123810174242,1.500382900238037,0.013261827514617568,1.3970448970794678,0.5216046196123214,1.7317941188812256,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
Decision Tree,2.3,43,4,3900,8169,0.019991809505861213,1.4068520069122314,0.3003660557542063,1.5564939975738525,0.10117966139294932,1.4416589736938477,float64,0.9635167464114832,0.875,0.8475336322869955,0.8610478359908884
Bagging Classifier,2.1,133,0,1950,8169,0.0173833714130588,1.3800079822540283,0.36147462795204666,1.5650041103363037,0.08048338245788546,1.42917799949646,int32,0.8588516746411483,0.5666666666666667,0.3923076923076923,0.4636363636363636
KNN,2.1,67,1,1950,8169,0.012649209064397442,1.395050048828125,0.01712599409674027,1.3962469100952148,0.2799368299734157,1.504662036895752,int32,0.8708133971291866,0.627906976744186,0.4153846153846154,0.5
Random Forest,2.1,90,2,2340,8169,0.01665902562205635,1.4062139987945557,4.21778027293055,3.5931029319763184,0.13962891895392532,1.450282096862793,int32,0.8664007976071785,0.543859649122807,0.6241610738255033,0.58125
SVM,2.1,6,1,3900,8169,0.022658248527800812,1.398305892944336,2.2050536322811927,1.9927899837493896,0.9614668848640379,1.6592190265655518,int32,0.8666267942583732,0.0,0.0,0.0
Bagging Classifier,2.3,154,3,3900,8169,0.05014013157562452,1.3914542198181152,1.5528188498771704,2.3033547401428223,0.14557936887004555,1.463792085647583,float128,0.9688995215311005,0.9384615384615385,0.820627802690583,0.8755980861244018
KNN,2.2,82,0,3900,8169,0.021150901950841038,1.400758981704712,0.016791260944520603,1.385571002960205,0.7831011366703932,1.6794147491455078,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
SVM,2.3,20,0,3900,8169,0.01951484620101138,1.3886370658874512,1.3835076793692813,1.889312982559204,0.8664390987797984,1.6329119205474854,float32,0.8666267942583732,0.0,0.0,0.0
Decision Tree,2.1,24,3,2340,8169,0.016515412639466265,1.3863697052001953,0.06077423269971835,1.4250657558441162,0.06841263547000172,1.4207606315612793,int32,0.8693918245264207,0.55625,0.5973154362416108,0.5760517799352751
Bagging Classifier,2.2,139,1,3900,816,0.2814952908405596,1.5043699741363525,0.16520753703280497,1.468763828277588,0.09440657154516362,1.4611971378326416,int32,0.882177033492823,0.5684210526315789,0.484304932735426,0.5230024213075061
AdaBoost,2.1,114,3,3119,8169,0.02999755555049903,1.396449089050293,1.4591961212413684,2.1831250190734863,0.10323651172871373,1.4756078720092773,int32,0.8893871449925261,0.6142131979695431,0.6269430051813472,0.6205128205128205
Decision Tree,2.3,39,0,3900,8169,0.02228912355032644,1.403559923171997,0.11231587210798066,1.4218878746032715,0.13099412838626184,1.447645902633667,int16,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
Bagging Classifier,2.2,140,4,3900,1633,0.2587674213851263,1.4932830333709717,0.23771124203549385,1.535964012145996,0.133710596447117,1.4574940204620361,int32,0.8851674641148325,0.5778894472361809,0.515695067264574,0.5450236966824645
AdaBoost,2.3,128,0,3900,8169,0.0220269138354189,1.4018449783325195,2.338869877034415,2.397331953048706,0.20921425472949903,1.4850530624389648,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
AdaBoost,2.2,120,2,3900,3267,0.42384659749715276,1.5127532482147217,1.8456665824098106,2.059828996658325,0.1958742825282345,1.4650859832763672,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
KNN,2.2,77,4,3900,4084,0.35286101731089636,1.5091581344604492,0.02194797534243006,1.387786865234375,0.8578864977219622,1.744764804840088,int32,0.8863636363636364,0.6,0.4439461883408072,0.5103092783505154
AdaBoost,2.1,116,1,3900,8169,0.032480215304744216,1.3963229656219482,1.980490510245899,2.5615029335021973,0.2163409279792458,1.482726812362671,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
AdaBoost,2.1,113,4,2730,8169,0.017736328915936395,1.4007518291473389,1.8640048707137238,2.0843021869659424,0.10391917869678069,1.4577760696411133,int32,0.8863247863247863,0.5823529411764706,0.6149068322981367,0.5981873111782477
Random Forest,2.2,96,0,3900,1633,0.38782843274053697,1.5194387435913086,1.9091056804017412,2.6222970485687256,0.20393316090438765,1.5022740364074707,int32,0.8833732057416268,0.5760869565217391,0.47533632286995514,0.5208845208845209
Bagging Classifier,2.2,146,2,3900,6535,0.2893878703043634,1.506417989730835,0.7337746266794887,1.6423330307006836,0.12193832640103916,1.4537949562072754,int32,0.8881578947368421,0.5927835051546392,0.515695067264574,0.5515587529976019
Random Forest,2.2,99,0,3900,4084,0.22720899336547593,1.480506181716919,3.5787525756108245,3.2810120582580566,0.14759518169531965,1.4788012504577637,int32,0.8851674641148325,0.581151832460733,0.4977578475336323,0.5362318840579711
Bagging Classifier,2.2,140,2,3900,1633,0.27377921961885016,1.5255100727081299,0.2682583901204161,1.5072970390319824,0.20881189941891373,1.4674670696258545,int32,0.888755980861244,0.5978835978835979,0.5067264573991032,0.5485436893203883
Bagging Classifier,2.1,133,4,1950,8169,0.02174667029309233,1.3979289531707764,0.6291981463064992,1.5940570831298828,0.06880587081962775,1.428492784500122,int32,0.8660287081339713,0.6022727272727273,0.4076923076923077,0.4862385321100917
Bagging Classifier,2.2,147,0,3900,7352,0.4057380010391539,1.4915039539337158,0.6463617568276327,1.662621021270752,0.19882295324610322,1.473106861114502,int32,0.8875598086124402,0.5906735751295337,0.5112107623318386,0.548076923076923
Multinomial NB,2.2,58,2,3900,6535,0.2903782526236607,1.4940071105957031,0.03370262037348055,1.3970961570739746,0.1795880019587988,1.4688167572021484,int32,0.8666267942583732,0.0,0.0,0.0
Decision Tree,2.2,32,3,3900,3267,0.25224650168810997,1.4918580055236816,0.05522015255994598,1.4165329933166504,0.11393237173926672,1.4594080448150635,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
SVM,2.2,15,2,3900,7352,0.3361560606243032,1.513071060180664,0.6653040821167776,1.8867692947387695,0.5239105634509837,1.648108959197998,int32,0.8666267942583732,0.0,0.0,0.0
AdaBoost,2.2,125,2,3900,7352,0.2976683337784045,1.505138874053955,1.253009730328626,2.3346009254455566,0.20343388579299704,1.4820148944854736,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
SVM,2.2,15,0,3900,7352,0.2156457171097962,1.5346448421478271,0.7956203483619848,1.9024231433868408,0.495605627444417,1.6259877681732178,int32,0.8666267942583732,0.0,0.0,0.0
SVM,2.2,10,3,3900,3267,0.2826214495351422,1.5,0.6814362679496956,1.7097101211547852,0.3250100151885879,1.5576341152191162,int32,0.8666267942583732,0.0,0.0,0.0
AdaBoost,2.2,121,2,3900,4084,0.28891163441544204,1.5110468864440918,0.942831407380996,2.003458023071289,0.19953393095206237,1.4789149761199951,int32,0.8827751196172249,0.6134453781512605,0.3273542600896861,0.4269005847953216
Decision Tree,2.1,26,2,3119,8169,0.01791442472213041,1.4152352809906006,0.0997921177258388,1.4230966567993164,0.1123950004804668,1.438208818435669,int32,0.8849028400597907,0.6258064516129033,0.5025906735751295,0.557471264367816
Multinomial NB,2.1,45,4,1950,8169,0.014956696814187296,1.3847448825836182,0.01661664378464496,1.39530611038208,0.08907739540449776,1.4166960716247559,int32,0.8444976076555024,0.0,0.0,0.0
Bagging Classifier,2.3,151,2,3900,8169,0.02616591695504512,1.3793680667877197,0.6467984096249544,1.6477530002593994,0.13340366154155262,1.47786283493042,int64,0.881578947368421,0.5730994152046783,0.43946188340807174,0.4974619289340101
Decision Tree,2.2,38,3,3900,8169,0.025488961858134023,1.4034080505371094,0.12936398269499658,1.4270069599151611,0.1124109407385501,1.4538872241973877,int32,0.8845693779904307,0.5842696629213483,0.4663677130044843,0.5187032418952617
Multinomial NB,2.3,61,4,3900,8169,0.019576763945907485,1.402906894683838,0.036850778712230796,1.3896989822387695,0.11466431274659786,1.4445950984954834,int16,0.8666267942583732,0.0,0.0,0.0
Random Forest,2.3,106,0,3900,8169,0.024768876458745332,1.3949880599975586,4.74413770950454,4.239063024520874,0.1523120768157093,1.4918489456176758,int32,0.8869617224880383,0.5934065934065934,0.484304932735426,0.5333333333333333
